WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-06|IPM FSAVC MUMBAI|65|Offshore
2015-01-06|MPP|12|England
2015-01-06|MPP_SCHEME_SERVICING|154|England
2015-01-06|NEW BUSINESS|96|Offshore
2015-01-06|NEW_WORLD_BEREAVEMENTS|13|England
2015-01-06|OB_LIFE_BEREAVEMENTS|37|England
2015-01-06|OPAL_BEREAVEMENTS||England
2015-01-06|PCPS_PCRS|10|England
2015-01-06|PG_SERV|45|England
2015-01-06|POLICY HOLDER - LIFE (NW) MUMBAI|177|Offshore
2015-01-06|POLICY HOLDER - LIFE (OB) MUMBAI|966|Offshore
2015-01-06|PRUBOND|2|England
2015-01-06|PRUBOND NBS (DGT)|129|Offshore
2015-01-06|PRUBOND SERVICING & CLAIMS MUMBAI|1001|Offshore
2015-01-06|PRUBONDS NEW BUSINESS|193|Offshore
2015-01-06|PRUFUND_BEREAVEMENTS|37|England
2015-01-06|RIG & PH PP MUMBAI|1149|Offshore
2015-01-06|RP|27|England
2015-01-06|RP_BEREAVEMENTS||England
2015-01-06|RPPAP MUMBAI|26|Offshore
2015-01-06|RPTB|56|England
2015-01-06|SCHEME NORTH MUMBAI|57|Offshore
2015-01-06|SERVICING|225|Offshore
2015-01-06|SHP_CLAIMS|24|England
2015-01-06|SHP_GPP_SERVICING|145|England
2015-01-06|SHP_MPP_FC|204|England
2015-01-06|SHP_MPP_REVISIONS|25|England
2015-01-06|TEACHERS||England
2015-01-07|ADVISER - LIFE (CH) MUMBAI|10|Offshore
2015-01-07|ANNUITIES SERVICING|264|Offshore
2015-01-07|AVC MUMBAI|1570|Offshore
2015-01-07|AVC_CLAIMS|15|England
2015-01-07|AVC_REVISIONS|32|England
2015-01-07|AVC_SERVICING|107|England
2015-01-07|BEREAVEMENTS|295|Offshore
2015-01-07|CDR DSS|31|Offshore
2015-01-07|CDT MUMBAI|622|Offshore
2015-01-07|CORPORATE PENSIONS|62|Offshore
2015-01-07|CORPORATE_PENSIONS|25|England
2015-01-07|DA ADMIN|67|Offshore
2015-01-07|EPP_MK1|20|England
2015-01-07|EPP_MK2-4|13|England
2015-01-07|IB PAY & SERVICING MUMBAI|434|Offshore
2015-01-07|IB_BEREAVEMENTS|163|England
2015-01-07|ILLUSTRATIONS MUMBAI|848|Offshore
2015-01-07|IPM FSAVC MUMBAI|56|Offshore
2015-01-07|MPP|18|England
2015-01-07|MPP_SCHEME_SERVICING|114|England
2015-01-07|NEW BUSINESS|78|Offshore
2015-01-07|NEW_WORLD_BEREAVEMENTS|8|England
2015-01-07|OB_LIFE_BEREAVEMENTS|126|England
2015-01-07|OPAL_BEREAVEMENTS||England
2015-01-07|PCPS_PCRS|18|England
2015-01-07|PG_SERV|32|England
2015-01-07|POLICY HOLDER - LIFE (NW) MUMBAI|1924|Offshore
2015-01-07|POLICY HOLDER - LIFE (OB) MUMBAI|687|Offshore
2015-01-07|PRUBOND|3|England
2015-01-07|PRUBOND NBS (DGT)|89|Offshore
2015-01-07|PRUBOND SERVICING & CLAIMS MUMBAI|859|Offshore
2015-01-07|PRUBONDS NEW BUSINESS|210|Offshore
2015-01-07|PRUFUND_BEREAVEMENTS|26|England
2015-01-07|RIG & PH PP MUMBAI|1300|Offshore
2015-01-07|RP|53|England
2015-01-07|RP_BEREAVEMENTS||England
2015-01-07|RPPAP MUMBAI|39|Offshore
2015-01-07|RPTB|47|England
2015-01-07|SCHEME NORTH MUMBAI|124|Offshore
2015-01-07|SERVICING|228|Offshore
2015-01-07|SHP_CLAIMS|27|England
2015-01-07|SHP_GPP_SERVICING|161|England
2015-01-07|SHP_MPP_FC|274|England
2015-01-07|SHP_MPP_REVISIONS|35|England
2015-01-07|TEACHERS||England
2015-01-08|ADVISER - LIFE (CH) MUMBAI|14|Offshore
2015-01-08|ANNUITIES SERVICING|236|Offshore
2015-01-08|AVC MUMBAI|2065|Offshore
2015-01-08|AVC_CLAIMS|14|England
2015-01-08|AVC_REVISIONS|42|England
2015-01-08|AVC_SERVICING|124|England
2015-01-08|BEREAVEMENTS|302|Offshore
2015-01-08|CDR DSS|39|Offshore
2015-01-08|CDT MUMBAI|636|Offshore
2015-01-08|CORPORATE PENSIONS|61|Offshore
2015-01-08|CORPORATE_PENSIONS|8|England
2015-01-08|DA ADMIN|72|Offshore
2015-01-08|EPP_MK1|61|England
2015-01-08|EPP_MK2-4|9|England
2015-01-08|IB PAY & SERVICING MUMBAI|346|Offshore
2015-01-08|IB_BEREAVEMENTS|138|England
2015-01-08|ILLUSTRATIONS MUMBAI|862|Offshore
2015-01-08|IPM FSAVC MUMBAI|51|Offshore
2015-01-08|MPP|16|England
2015-01-08|MPP_SCHEME_SERVICING|121|England
2015-01-08|NEW BUSINESS|89|Offshore
2015-01-08|NEW_WORLD_BEREAVEMENTS|19|England
2015-01-08|OB_LIFE_BEREAVEMENTS|48|England
2015-01-08|OPAL_BEREAVEMENTS||England
2015-01-08|PCPS_PCRS|10|England
2015-01-08|PG_SERV|44|England
2015-01-08|POLICY HOLDER - LIFE (NW) MUMBAI|253|Offshore
2015-01-08|POLICY HOLDER - LIFE (OB) MUMBAI|522|Offshore
2015-01-08|PRUBOND|2|England
2015-01-08|PRUBOND NBS (DGT)|148|Offshore
